Transaction_ID,Customer_ID,Transaction_Date,Customer_Age,Customer_Gender,Product_Category,Quantity,Unit_Price,Total_Spent,Payment_Method,Customer_Satisfaction,Month_Year,Age_Group
TX100785,CUST1008,2025-12-01,39.0,Other,Electronics,5.0,280.34,1401.7,Cash,2,2025-12,36-50
TX100722,CUST1141,2025-12-01,46.0,Unknown,Home & Kitchen,4.0,161.83,647.32,Credit Card,3,2025-12,36-50
TX100010,CUST1173,2025-12-01,69.0,Male,Books,3.0,25.82,77.46,Credit Card,5,2025-12,65+
TX100342,CUST1134,2025-08-07,20.0,Other,Books,3.0,21.0,63.0,Cash,4,2025-08,18-25
TX101182,CUST1035,2025-08-07,68.0,Male,Home & Kitchen,2.0,208.11,416.22,Debit Card,1,2025-08,65+
TX100709,CUST1066,2025-02-24,74.0,Unknown,Electronics,4.0,640.55,2562.2,Cash,3,2025-02,65+
TX101036,CUST1031,2025-08-18,60.0,Other,Clothing,2.0,87.57,175.14,Debit Card,3,2025-08,51-65
TX100060,CUST1084,2025-03-03,42.0,Male,Home & Kitchen,1.0,204.76,204.76,Cash,4,2025-03,36-50
TX100032,CUST1079,2025-09-05,65.0,Other,Books,5.0,25.14,125.7,Debit Card,2,2025-09,51-65
TX100692,CUST1093,2026-01-25,53.0,Male,Unknown,5.0,108.62,543.1,Cash,5,2026-01,51-65
TX100968,CUST1003,2025-05-08,46.0,Female,Books,5.0,19.76,98.8,Credit Card,1,2025-05,36-50
TX100905,CUST1185,2025-05-18,46.0,Female,Electronics,2.0,894.58,1789.16,Credit Card,2,2025-05,36-50
TX100295,CUST1180,2025-04-18,35.0,Female,Home & Kitchen,5.0,244.11,1220.55,Debit Card,1,2025-04,26-35
TX101045,CUST1003,2025-01-08,35.0,Female,Clothing,2.0,96.52,193.04,Debit Card,4,2025-01,26-35
TX100134,CUST1131,2025-04-07,75.0,Male,Clothing,1.0,62.14,62.14,Cash,2,2025-04,65+
TX100861,CUST1191,2025-07-05,70.0,Male,Electronics,1.0,26.81,26.81,Debit Card,3,2025-07,65+
TX100462,CUST1067,2025-08-31,26.0,Unknown,Home & Kitchen,5.0,413.96,2069.8,Debit Card,4,2025-08,26-35
TX100364,CUST1174,2025-08-31,21.0,Male,Home & Kitchen,1.0,37.57,37.57,Cash,3,2025-08,18-25
TX100457,CUST1155,2026-03-07,59.0,Female,Home & Kitchen,1.0,60.41,60.41,GPay,1,2026-03,51-65
TX100585,CUST1003,2026-03-07,30.0,Other,Electronics,5.0,420.7,2103.5,Debit Card,5,2026-03,26-35
TX100512,CUST1137,2025-11-08,48.0,Female,Books,4.0,10.31,41.24,Cash,1,2025-11,36-50
TX100297,CUST1189,2025-11-27,69.0,Other,Beauty,3.0,101.34,304.02,Cash,3,2025-11,65+
TX100552,CUST1183,2025-03-20,46.0,Male,Electronics,5.0,430.67,2153.35,Debit Card,3,2025-03,36-50
TX101081,CUST1175,2025-04-18,65.0,Male,Beauty,3.0,128.64,385.92,Credit Card,2,2025-04,51-65
TX100596,CUST1198,2026-02-25,46.0,Male,Electronics,1.0,1173.61,1173.61,GPay,2,2026-02,36-50
TX101046,CUST1077,2025-03-12,75.0,Male,Books,4.0,28.55,114.2,Credit Card,2,2025-03,65+
TX100212,CUST1011,2026-03-11,74.0,Female,Beauty,5.0,32.62,163.1,Unknown,4,2026-03,65+
TX100124,CUST1159,2025-01-28,42.0,Unknown,Books,4.0,26.99,107.96,Debit Card,5,2025-01,36-50
TX100924,CUST1190,2026-02-13,28.0,Male,Home & Kitchen,4.0,413.59,1654.36,Credit Card,4,2026-02,26-35
TX100064,CUST1074,2026-02-13,50.0,Other,Unknown,5.0,984.72,4923.6,Credit Card,3,2026-02,36-50
TX100016,CUST1177,2026-04-08,53.0,Male,Electronics,2.0,1007.06,2014.12,GPay,2,2026-04,51-65
TX100119,CUST1028,2025-01-06,53.0,Other,Books,5.0,36.07,180.35,Cash,2,2025-01,51-65
TX100949,CUST1005,2026-03-07,40.0,Male,Beauty,1.0,71.34,71.34,Cash,1,2026-03,36-50
TX101118,CUST1104,2025-04-04,61.0,Male,Unknown,5.0,241.38,1206.9,Debit Card,5,2025-04,51-65
TX100567,CUST1190,2025-07-22,64.0,Female,Home & Kitchen,2.0,214.03,428.06,Credit Card,2,2025-07,51-65
TX100203,CUST1139,2025-07-22,41.0,Other,Books,5.0,9.4,47.0,Credit Card,5,2025-07,36-50
TX100130,CUST1113,2025-08-22,26.0,Female,Home & Kitchen,3.0,50.85,152.55,Debit Card,2,2025-08,26-35
TX101098,CUST1059,2026-01-25,37.0,Male,Clothing,4.0,46.45,185.8,Debit Card,5,2026-01,36-50
TX100974,CUST1059,2025-10-31,48.0,Male,Home & Kitchen,2.0,234.96,469.92,Cash,3,2025-10,36-50
TX100898,CUST1133,2025-10-31,29.0,Other,Home & Kitchen,5.0,168.23,841.15,GPay,4,2025-10,26-35
TX100461,CUST1156,2025-02-08,69.0,Female,Electronics,3.0,271.18,813.54,Debit Card,4,2025-02,65+
TX100468,CUST1116,2026-04-28,46.0,Other,Beauty,2.0,106.125,212.25,Debit Card,3,2026-04,36-50
TX100289,CUST1059,2026-02-03,44.0,Female,Beauty,4.0,106.125,424.5,Cash,3,2026-02,36-50
TX100228,CUST1146,2025-04-06,73.0,Other,Clothing,3.0,69.58,208.74,GPay,3,2025-04,65+
TX100842,CUST1066,2025-06-06,65.0,Male,Clothing,5.0,41.4,207.0,Cash,5,2025-06,51-65
TX100474,CUST1040,2025-01-15,46.0,Other,Unknown,2.0,459.45,918.9,Cash,3,2025-01,36-50
TX100570,CUST1005,2026-02-05,56.0,Other,Clothing,2.0,17.01,34.02,Cash,5,2026-02,51-65
TX100425,CUST1076,2025-12-04,38.0,Female,Clothing,1.0,36.08,36.08,GPay,5,2025-12,36-50
TX100337,CUST1070,2025-10-16,46.0,Other,Electronics,1.0,1333.3,1333.3,Cash,1,2025-10,36-50
TX100273,CUST1072,2025-05-10,46.0,Other,Clothing,2.0,38.74,77.48,Credit Card,5,2025-05,36-50
TX100988,CUST1034,2025-02-13,65.0,Other,Clothing,2.0,40.65,81.3,Credit Card,5,2025-02,51-65
